,id,second_quiz,final_grade,prep_time,SECRET!!!!,usage
0,timothyallison@example.net,3.0,13.0,0.0,-1.9048952830759276,0
1,voneal@example.com,8.0,20.0,74.36100315495926,-0.6380057075024808,0
2,lunatiffany@example.org,9.0,26.0,155.0686200552748,-0.8592289986828671,0
3,dhoward@example.org,4.0,26.0,269.6503030172268,1.0473245151540898,0
4,brettlong@example.net,3.0,16.0,42.68087679801001,0.7371317239080489,0
5,ericsantiago@example.org,9.0,24.0,24.397654572724214,-0.9192853314086019,0
6,hermanjesus@example.com,9.0,22.0,41.222611409210344,-0.8125712753594442,0
7,antonio14@example.com,10.0,22.0,92.60569635601189,1.2931120545914643,0
8,joneskaitlyn@example.org,4.0,16.0,29.26709637220454,1.6639217278627678,0
9,alyssa69@example.net,5.0,24.0,141.42739561921744,0.23202943493472925,0
10,cgonzalez@example.net,7.0,20.0,0.0,2.095962693613924,0
11,teresawilson@example.org,8.0,23.0,83.98722497077719,1.326831692064844,0
12,dianewatkins@example.org,4.0,17.0,0.0,-1.295336230381291,0
13,arangel@example.com,10.0,26.0,122.88104869322132,-0.32392842348986084,0
14,cmiller@example.net,7.0,30.0,404.2793027256525,0.597044486941873,0
15,annperez@example.net,4.0,15.0,0.0,-1.236780141351743,0
16,frenchchristopher@example.com,6.0,20.0,71.78155259294196,1.6101131687444508,0
17,brownpaula@example.net,8.0,24.0,90.50899002633058,-0.36366899327207336,0
18,thompsondiane@example.org,5.0,20.0,75.76016894093335,-0.15021108676480427,0
19,mckinneyjohn@example.net,6.0,20.0,121.72131814577988,0.03863217542622243,0
20,melissaevans@example.com,3.0,18.0,0.0,-2.0390655723205793,0
21,barryfischer@example.com,7.0,24.0,136.68450477046954,-0.023498880754337544,0
22,irussell@example.com,6.0,28.0,194.38274502931836,0.8243360015208848,0
23,joanna58@example.org,4.0,22.0,85.77032666533748,-0.9385778971233356,0
24,cooksamantha@example.net,3.0,16.0,0.0,-2.1120010191947114,0
25,joshua52@example.com,10.0,26.0,167.61846192324933,-0.3428727674497412,0
26,claytonjeffrey@example.net,4.0,15.0,0.0,-1.690245358319915,0
27,estradaashley@example.com,5.0,23.0,100.34678512721064,1.7610142287238342,0
28,fcardenas@example.org,6.0,20.0,71.9583623719072,0.04992059938465615,0
29,david57@example.org,4.0,22.0,69.8420339446093,-0.01728858703580682,0
30,yperkins@example.com,4.0,18.0,47.684144728895276,-0.16033719177195493,0
31,sheri57@example.org,7.0,27.0,257.8356128134553,0.44852530263224455,0
32,williecruz@example.com,3.0,21.0,134.74202396167422,-0.10753718440245542,0
33,lewisjaclyn@example.org,5.0,21.0,80.75129874307856,0.6241687729392165,0
34,sriley@example.org,5.0,29.0,386.879194171688,0.2610453013694399,0
35,tsnyder@example.net,6.0,24.0,66.85229364798697,0.41117420834246565,0
36,ericjohnston@example.org,8.0,18.0,0.0,3.544423803313245,0
37,robertbrown@example.org,6.0,18.0,24.558364873860782,-0.5617979730304928,0
38,john11@example.org,8.0,21.0,93.29605790462784,-0.09589350404303008,0
39,cheath@example.com,5.0,19.0,25.31950174105579,1.635728322954933,0
40,william77@example.net,5.0,23.0,83.51291079617931,0.28151981531860776,0
41,kathleen36@example.org,8.0,30.0,500.2729412501327,-0.8593833848424255,0
42,wwheeler@example.com,10.0,21.0,21.480359447216703,1.1820599424827514,0
43,aaronfields@example.org,3.0,19.0,0.0,-1.474415229660261,0
44,linda49@example.net,5.0,16.0,54.70305497796318,-0.643121309973627,0
45,xsmith@example.org,5.0,18.0,0.0,-1.9712721764065149,0
46,hawkinsdavid@example.net,7.0,21.0,44.102120269859356,1.0180696349324434,0
47,elee@example.org,7.0,22.0,101.16913977497192,0.03304040438733885,0
48,ryan04@example.net,9.0,24.0,66.18969074322256,-0.9080247286291905,0
49,charles65@example.org,5.0,20.0,208.8759209786612,1.303860811900836,0
50,danielsmith@example.org,7.0,19.0,95.57204177262247,-0.2049801513277018,0
51,danieljohnson@example.com,8.0,20.0,33.13225061716186,1.4542351294069826,0
52,aroberts@example.com,6.0,18.0,30.573511321121305,0.7659384167833005,0
53,reginald54@example.org,9.0,24.0,86.8301309614141,0.05106181819534846,0
54,danielle51@example.com,6.0,23.0,29.379596247163082,-0.9182099503946332,0
55,mcguirewilliam@example.org,6.0,21.0,48.896631651469306,0.5540983613067963,0
56,gregory01@example.org,8.0,25.0,159.789909478472,-0.4082920381889132,0
57,jacksonmark@example.net,4.0,19.0,86.79814844102164,0.36720027612577294,0
58,craigcynthia@example.org,6.0,19.0,73.99684196690379,-0.282338381607776,0
59,dalebaker@example.com,4.0,20.0,115.3525700552458,-0.3261499678561186,0
60,swong@example.org,4.0,15.0,0.0,-1.92253195388253,0
61,johnsmith@example.net,9.0,27.0,192.7625195869263,0.3257378806651708,0
62,samantha60@example.net,8.0,22.0,0.0,-1.3359849635450018,0
63,julie83@example.net,4.0,18.0,50.28557135985967,0.8841717582765384,0
64,jamiepeters@example.net,10.0,26.0,27.00393356302159,0.5021738047424205,0
65,moralesjames@example.net,6.0,25.0,175.4376550119756,0.7068223896718042,0
66,zjohnson@example.net,4.0,20.0,51.90465529560902,1.1653686051008074,0
67,ashleywyatt@example.net,8.0,18.0,0.0,-1.6337541522870243,0
68,richmondmelinda@example.com,10.0,19.0,0.0,2.061154947731149,0
69,robinsongary@example.com,6.0,20.0,0.0,-2.8828590131706378,0
70,codygardner@example.com,1.0,15.0,91.12516308128207,-0.015033772796901755,0
71,kelsey03@example.com,5.0,18.0,81.13580189001371,0.07876780695343483,0
72,chad14@example.org,5.0,21.0,58.948272713742256,0.700785845366186,0
73,cynthiajacobs@example.org,8.0,26.0,95.3141658793831,0.06820640958130862,0
74,smithblake@example.net,6.0,22.0,45.97083077881951,-1.076549131740309,0
75,amartin@example.com,7.0,23.0,79.09001381023477,-0.825244624204137,0
76,james58@example.com,8.0,22.0,88.81027092592832,0.2797312382405803,0
77,geraldwilson@example.com,7.0,22.0,0.0,-1.228711869022907,0
78,walkeraaron@example.com,8.0,24.0,75.00902540419014,-0.021992408389357024,0
79,wmcgrath@example.net,9.0,30.0,285.0148014224685,0.1129521593001884,0
80,samanthafisher@example.org,10.0,27.0,95.72137446284775,1.2833481066515824,0
81,boydalexandra@example.org,6.0,19.0,44.55317882006607,-0.47287865959962594,0
82,mark97@example.org,3.0,16.0,96.6251957437141,0.6769457085238546,0
83,ewoods@example.org,8.0,22.0,54.67287853657915,1.192376151894767,0
84,robertscott@example.com,5.0,19.0,43.192950984961676,-0.14257122608311043,0
85,samanthahenry@example.org,7.0,17.0,39.93928460405123,1.099689177318612,0
86,bellsamantha@example.org,3.0,18.0,90.435111548433,0.20599488465695304,0
87,wmitchell@example.com,2.0,17.0,66.744035503886,1.6983782975231658,0
88,matthewlindsey@example.com,8.0,20.0,15.101046522741605,1.2651062590702948,0
89,holderdavid@example.org,6.0,21.0,0.0,3.4285327737246054,0
90,moorejasmine@example.org,2.0,18.0,40.243567846594864,0.19131288990635667,0
91,johnsonallen@example.org,7.0,18.0,35.80364277588143,0.9277154172981473,0
92,cdecker@example.net,5.0,19.0,64.63954845990419,0.09310770488147603,0
93,thomas30@example.com,8.0,18.0,0.0,-1.2064412962525919,0
94,gonzalezshannon@example.com,0.0,17.0,138.40521430264639,0.10338798532398365,0
95,ethannavarro@example.net,6.0,25.0,134.97945502664965,1.0748187368024302,0
96,emilysmith@example.org,7.0,21.0,38.51299121841089,-0.549082315190828,0
97,matthew08@example.com,6.0,18.0,62.913470120985345,0.1917908653692362,0
98,sloanwilliam@example.net,10.0,22.0,60.716188974415594,-0.24075593692772557,0
99,muelleralicia@example.com,8.0,22.0,89.66857129191624,-0.5831371702621717,0
100,erin09@example.com,9.0,22.0,0.0,-1.9662018732334001,0
101,steven94@example.com,7.0,23.0,0.0,-2.157202384958067,0
102,watsonerin@example.org,6.0,20.0,0.0,-1.7432866491499464,0
103,susan11@example.org,6.0,21.0,125.76864797195935,1.9360609470885148,0
104,sandersjeremy@example.org,5.0,20.0,0.0,-1.8398460735351978,0
105,williamalvarez@example.net,9.0,24.0,57.41986608915682,0.2243656363091803,0
106,emartinez@example.com,8.0,23.0,0.0,-1.6004530138238509,0
107,cindyreed@example.net,7.0,20.0,61.27650228922125,-0.33969871076101094,0
108,otucker@example.net,3.0,18.0,93.00330510264193,-0.5020980588992909,0
109,thorntondanielle@example.net,5.0,15.0,0.0,-1.2187352044839028,0
110,jbenjamin@example.com,4.0,21.0,121.37609957230768,0.027971578592468346,0
111,andrewserin@example.com,6.0,20.0,42.825954663836704,-0.061122673989447804,0
112,brittneymurphy@example.net,3.0,16.0,93.6412849894189,0.8498402448070917,0
113,susan18@example.org,5.0,18.0,41.46770533579401,1.017649134243173,0
114,kevinhale@example.org,5.0,20.0,42.22132786614247,0.26969008877680933,0
115,gillkristina@example.net,6.0,20.0,37.255197153616805,0.4681385529954412,0
116,holly72@example.org,7.0,21.0,48.146621463807264,1.3013016386195277,0
117,esellers@example.com,7.0,26.0,198.59256921057687,0.23615630353836028,0
118,donaldsonkaren@example.org,9.0,22.0,34.00985488398299,1.9493908051901225,0
119,xdecker@example.com,8.0,30.0,264.35624007707366,0.7997696396942483,0
120,parsonslawrence@example.com,8.0,27.0,213.03888882428384,0.8409165439775591,0
121,coffeytravis@example.com,5.0,17.0,127.20305145118203,0.6234514649472591,0
122,normaschmidt@example.com,3.0,16.0,30.284560608299714,0.4117661329787862,0
123,fmiller@example.net,6.0,17.0,0.0,3.283969354928793,0
124,ctrevino@example.com,9.0,21.0,52.20375951117213,0.6383729454686045,0
125,brian51@example.com,9.0,27.0,170.3310728853649,1.6984430704604085,0
126,fjackson@example.org,5.0,24.0,58.848389253828266,-0.9244400812275798,0
127,kenneth46@example.com,4.0,17.0,44.39826802622352,0.2699771123339611,0
128,ashleyhall@example.org,5.0,18.0,0.0,-1.4200184295640619,0
129,upratt@example.com,5.0,22.0,63.8995893941214,-0.8996292519266489,0
130,elliottcheryl@example.com,5.0,20.0,35.88634783685077,0.056576205897596835,0
131,fday@example.org,7.0,23.0,65.9944094254109,2.008423348017792,0
132,gabriellogan@example.net,6.0,23.0,104.11898910295572,0.7357391785637861,0
133,drodriguez@example.net,3.0,14.0,46.189594148488865,-0.03913154609283202,0
134,campbellmatthew@example.org,7.0,19.0,35.07198482989631,1.6741801062724335,0
135,usanchez@example.com,3.0,13.0,0.0,-2.1721058306104912,0
